[IsGrandTotalRowTotal],[Total_Open_Order__],[Total_Open_Order_Qty],[DIM] Order Flow Buckets[PARENT_CATEGORY],[DIM] Products[CFN]
True,18499121.843999997,735124.998,,
False,506429.9370000001,2373,Future Orders,EGIA60AMT
False,369118.2160000001,764,Shipped Not Invoiced,LF1937
False,344368.983,621,Future Orders,LF1937
False,331505.791,620,Future Orders,LF1923
False,305612.375,1495,DC Workload,EGIA60AMT
False,289888.66899999994,1703,Shipped Not Invoiced,EGIA60AMT
False,200270.235,404,Shipped Not Invoiced,LF1923
False,197298.09600000002,367,DC Workload,LF1937
False,194516.68000000005,512,Future Orders,LF1212
False,176061.69799999997,2490,Backorder,E2100
False,167625.58299999996,627,Future Orders,SIGPSHELL
False,159496.473,594,Current Orders,ABSTACK30
False,154445.20200000002,116,Backorder,ILS-0900-KT
False,149742.06100000002,1554,Backorder,GIA6038S
False,149683.37099999998,712,Past Due Orders,EGIA60AMT
False,148188.817,358,Shipped Not Invoiced,LF2019
False,140888.0870000006,931,Shipped Not Invoiced,PP1208DR
False,139856.92299999998,669,DC Workload,EGIA60AVM
False,139635.55600000027,33060,Backorder,220-50
False,137124.84099999996,144,Backorder,8886848700
False,132801.771,477,Future Orders,EGIAUSHORT
False,131648.13199999998,198,Past Due Orders,LF1937
False,130508.633,254,Current Orders,LF1937
False,124370.83300000035,826,Shipped Not Invoiced,PP1208DL
False,123761.79699999998,698,Shipped Not Invoiced,EGIA60AVM
False,120317.158,648,DC Workload,EGIAUSTND
False,119531.14800000002,246,Shipped Not Invoiced,LF1837
False,115494.11300000001,498,Future Orders,EGIA45AMT
False,111170.21599999999,705,Shipped Not Invoiced,EGIA45AMT
False,101032.74099999994,571,Shipped Not Invoiced,TEM1208GR
False,100720.31500000003,15400,Backorder,E1455
False,99952.802,218,Future Orders,LF1837
False,99009.38999999998,418,Shipped Not Invoiced,SIGPSHELL
False,97920,5760,Backorder,VLOCM0014
False,96834.432,48,Future Orders,TRIEEAXL25XTORVIL
False,96548.354,192,DC Workload,LF1923
False,93463.383,279,Past Due Orders,TRIEEA28XT
False,91585.28400000001,180,Future Orders,LF2019
False,88518.24799999999,150,Past Due Orders,LF2019
False,86441.283,138,Future Orders,LXMJ37S
False,86230.112,232,Shipped Not Invoiced,LF1212
False,85939.572,174,DC Workload,LF2019
False,85481.956,435,Shipped Not Invoiced,EGIAUSTND
False,83704.21699999998,491,DC Workload,EGIA45AMT
False,83336.49100000004,1580,Backorder,72205028
False,80918.216,150,DC Workload,LF4418
False,79722.61800000002,418,Current Orders,EGIA60AMT
False,79713.37999999998,388,Past Due Orders,EGIAUSTND
False,78322.932,362,DC Workload,SIGPSHELL
False,77911.60999999999,4896,Shipped Not Invoiced,VLOCM0604
False,76500,4500,Backorder,VLOCM0345
False,76211.942,146,Shipped Not Invoiced,SCD7A39
False,73840.21999999999,108,DC Workload,LXMJ37S
False,73723.75200000001,382,Shipped Not Invoiced,TEM1208GL
False,73352.022,4632,Backorder,VLOCM2004
False,72380.086,300,Past Due Orders,SIGPSHELL
False,68946.52000000002,153,Shipped Not Invoiced,LF4418
False,68616.628,334,Past Due Orders,EGIA60AVM
False,66156.329,99,Past Due Orders,LXMJ37S
False,64599.204,84,Past Due Orders,LF4418
False,62903.128,500,Future Orders,176673P
False,62258.155999999995,912,Future Orders,134053
False,62074.509000000005,396,Shipped Not Invoiced,EGIA45AVM
False,62011.75800000001,126,Current Orders,LF2019
False,61199.91300000001,120,Past Due Orders,LF1923
False,60571.978999999985,14400,Backorder,E1551-6
False,58646.238999999994,120,DC Workload,LF1837
