[IsGrandTotalRowTotal],[Demand],[Consensus_Forecast_Lag_0],[Consensus_Forecast_Lag_1],[Consensus_Forecast_Lag_2],Products[CFN]
True,7412,3820006.5504,3747013.0048,3845169.7176,
False,,3.0244,3.0244,3.0168,015170
False,0,,,,020242
False,,2.7888,2.7888,3.3572,020250
False,0,,,,030415
False,0,,,,030416
False,0,,,,030418
False,0,,,,030419
False,0,,,,030425
False,0,,,,030450
False,0,,,,030451
False,0,,,,030454
False,0,,,,030455
False,0,,,,030456
False,0,,,,030457
False,0,23.312,23.312,25.3368,030458
False,0,169.4112,169.4112,21.2228,030459
False,0,,,,059037
False,,1.3216,1.3216,0.776,1012754
False,0,,,,1060219-SP
False,,0.4092,0.4092,0.4844,1060230-SP
False,,3,3,,1074181
False,0,,,,10760
False,0,,,,10762
False,,1.0164,1.0164,1.02,11068
False,0,98.4532,98.4532,103.6328,115-0011
False,0,7611.794,7657.66,7630.1952,133650
False,12,1840.006,1755.0312,1739.2764,134048
False,0,5404.776,4798.0236,4485.5456,134051
False,0,8745.6516,7962.5296,7833.7012,134053
False,0,,,,14113011V07
False,0,,,,14319431V03
False,0,122198.376,119354.032,128767.3124,150462
False,0,87.9116,87.9116,84.1656,170001-
False,0,56.8784,56.8784,,170002
False,,26.8712,26.8712,27.2268,170003
False,0,49.6732,31.54,35.8816,170004
False,0,,,,170012
False,0,45.8224,45.8224,,170013
False,0,,,,170040
False,0,,,,170041
False,0,,,,170043
False,,14.7952,14.7952,,170050
False,0,157.1804,157.1804,145.1,170051
False,0,16.924,16.924,17.3616,170052
False,0,319.8264,319.8264,349.822,170053
False,0,106.0896,108.0528,114.43,170071
False,0,9489.6832,9410.1756,11296.3104,172015
False,0,1920.4668,1857.8596,1965.084,172016
False,8,618.4968,618.4968,617.91,173016
False,,,,4.2708,173019
False,0,327.2868,272.258,277.5604,173021
False,0,6809.522,6809.522,5971.784,173022
False,0,226.1484,226.1484,224.4864,173023
False,0,290.8808,294.3664,308.2584,173024
False,0,232.3864,205.8804,237.276,173026
False,48,2281.8452,2510.6636,2844.0448,173030
False,0,808.082,800.7116,908.6008,173046
False,0,3127.7784,3269.5872,3575.5364,173049
False,0,15529.658,15070.48,15913.07,173050G
False,0,1359.806,1313.8236,1265.4752,173052
False,0,167.68,173.9212,146.938,173054
False,,6.9736,6.9736,,174001
False,0,1938.9508,1938.9508,2119.3916,174006
False,0,1879.8248,1869.5176,1624.8948,174007
False,0,147.0892,146.094,161.5,174015
False,0,,,,174021
False,0,,,,174023
False,0,,,,174025
False,0,,,,174027
False,0,73.2836,73.2836,,174209
False,0,,,,174213
False,0,481.7364,463.546,483.7868,174301
False,0,8655.5368,9132.3508,9619.9812,174317
False,,4.9912,4.9912,,174601
False,0,,,,176613
False,0,3716.1656,3698.0536,4431.4624,176625
False,0,2032.0284,2057.7352,2187.3428,176630
False,0,4942.2516,3416.4208,4177.0612,176630B
False,0,3063.5996,3063.5996,3242.0084,176643
False,0,1214.0468,1214.0468,1207.9072,176645
False,0,649.634,671.4516,731.5224,176647
False,0,10751.0244,10022.1132,12489.4604,176657
False,0,54.8744,54.8744,,176673P
False,0,,,,176674P
False,0,,,,176674PF
False,,5.3808,5.3808,8.5856,177091PF
False,,2.0928,2.0928,2.1288,177092F
False,0,180.108,136.826,160.5112,179078PF
False,0,11.1028,11.6896,11.964,179094F
False,0,14.2008,14.2008,21.0592,179096P
False,,7.3376,7.3376,5.5808,179096PF
False,0,,,,179097PF
False,24,1651.12,1650.234,1609.72,179301
False,24,2135.8256,2122.4088,2095.9768,179303
False,0,733.952,733.952,732.4624,179305
False,0,99.1448,57.5604,57.8812,179307
False,0,,,1.1748,207000185
False,0,4.8416,4.8416,1.9852,207002061
False,0,,,,207002062
False,30,7407.6768,6994.4972,7956.4416,21-345
False,0,13732.2776,13916.3328,12853.5772,220-50
False,0,158.6132,125.8376,121.6212,220-90
False,,,,0.408,223200667
False,0,39.2092,39.2092,34.1756,24055-
False,0,1299.1704,1370.9968,1376.7296,250-30
False,0,381.5192,409.2016,424.7844,250-40
False,0,,,,26605AA
False,0,,,,26605BA
False,,20,20,9,26616ACA
False,,20,20,9,26616BCA
False,0,122.7396,112.8876,111.7092,2-CL-852
False,0,4227.6088,3475.0152,3189.622,31-121
False,,2.6964,2.6964,2.7072,360186
False,0,38.3384,38.3384,37.662,360187
False,0,9.9096,8.054,11.626,360188
False,0,0.6004,0.6004,20.0264,39501XTC
False,0,15.412,15.412,17.2524,3-CP-360
False,,,,0.6252,4822372001
False,0,4.3692,4.3692,44.0316,495VIT
False,0,9.5024,4.9544,3.4936,5000-100
False,0,8.1776,4.2208,4.4384,5000-150
False,0,15.6424,14.8884,14.5888,5000-50
False,0,4.9492,4.8928,4.6432,5001-100
False,0,4.3056,3.5856,3.636,5001-150
False,0,11.3336,11.3336,13.0268,5001-50
False,0,13.0884,15.2456,14.1632,5033-100
False,,4.0704,4.0704,3.6928,5033-150
False,0,26.2556,26.2556,30.6572,5033-50
False,,0.8672,0.8672,,5063-150
False,0,18.198,9.2028,10.7404,5110-100
False,0,15.964,13.032,14.2336,5110-150
False,0,8.4096,8.8204,8.12,5115-100
False,0,22.0372,22.0372,21.85,5115-150
False,0,3.3956,2.7008,2.8632,5120-100
False,0,6.9856,6.9856,7.9484,5120-150
False,0,4.294,4.294,4.294,5152-100
False,0,10.5652,10.5652,12.1788,5152-150
False,0,2.7408,2.7408,3.5624,5210-100
False,0,1.0816,1.0816,1.1444,5220-100
False,0,10.3424,10.3424,7.56,5230-100
False,0,14.848,13.8236,24.5972,5230-150
False,,2.7108,2.7108,3.084,5240-150
False,0,1.0008,1.0008,1.0004,5250-150
False,0,2.4352,2.4352,2.5164,5284-150
False,0,4.5984,4.5984,5.2496,5416-100
False,0,38.8848,39.4256,38.234,5418-100
False,0,,,,5556803800
False,,,,0.476,560-6462
